COUNTRY,SERIES_CODE,INDICATOR,SCALE,UNIT,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Available_Year_Count,Missing_Year_Count,Missing_Year_Percentage,Historical_Average,Historical_Median,Historical_Minimum,Historical_Maximum,Historical_Standard_Deviation,Historical_Range,First_Year_Value,Latest_Year_Value,First_Year,Latest_Year,Absolute_Change,Percentage_Change,Previous_Year_Value,Latest_Year_Change,Latest_Year_Change_Percentage,CAGR_Percentage,Trend_Slope,Trend_Direction,Latest_Value_Status,Latest_Value_Log,Historical_Average_Log,Country_ID,Country_Record_Count,Indicator_ID,Indicator_Record_Count,Unit_ID,Unit_Record_Count,Scale_ID,Country_Indicator_Record_Count,Latest_Value_Outlier_Flag,Historical_Average_Outlier_Flag,Total_Missing_Values_Per_Row,Total_Available_Values_Per_Row,Missing_Value_Percentage_Per_Row
United States,USA.NGSD_NGDP.A,"Gross national savings, Percent of GDP",Units,Percent,23.206,21.713,19.725,21.839,20.308,18.882,19.548,20.564,19.674,18.674,18.733,17.607,16.97,17.782,18.681,19.57,20.773,21.315,20.851,20.741,19.581,18.303,17.351,17.662,18.052,19.126,17.354,14.975,13.798,15.288,16.238,18.288,18.475,19.571,19.611,18.472,18.882,19.126,19.329,18.232,17.583,18.186,17.026,16.494,16.804,45,0,0.0,18.688066666666664,18.681,13.798,23.206,1.852984464930218,9.408,23.206,16.804,1981,2025,-6.402000000000001,-27.58769283805913,16.494,0.3099999999999987,1.8794713229052913,-0.7309380871720284,-0.07464743083004012,Decreasing,Positive,2.879423151153608,2.9800126992404103,187,44,27,172,3,3211,2,1,0,0,0,85,0.0
United Kingdom,GBR.NGDP_D.A,"Gross domestic product (GDP), Price deflator, Index",Units,Index,25.607,27.654,29.188,30.714,32.376,33.825,35.693,37.884,40.925,44.415,47.397,48.946,50.414,51.344,52.689,54.871,54.891,55.62,56.396,56.946,57.921,59.131,60.541,62.194,63.975,65.943,67.257,69.48,70.875,71.816,73.595,74.734,76.346,77.564,78.083,79.438,80.664,82.247,84.271,88.352,88.981,94.034,100.0,103.902,107.758,45,0,0.0,62.375488888888896,60.541,25.607,107.758,21.20130658561811,82.151,25.607,107.758,1981,2025,82.151,320.81462100206977,103.902,3.8559999999999945,3.711189390002112,3.319877429722795,1.596517786561265,Increasing,Positive,4.689125230481543,4.149077176104692,186,44,25,197,1,590,2,1,0,0,0,85,0.0
United States,USA.LUR.A,Unemployment rate,Units,Not Specified,7.617,9.708,9.6,7.508,7.192,7.0,6.175,5.492,5.258,5.617,6.85,7.492,6.908,6.1,5.592,5.408,4.942,4.5,4.217,3.967,4.742,5.783,5.992,5.542,5.083,4.608,4.617,5.8,9.283,9.608,8.933,8.075,7.358,6.158,5.275,4.875,4.358,3.892,3.675,8.1,5.35,3.65,3.625,4.025,4.279,45,0,0.0,5.996199999999997,5.592,3.625,9.708,1.734176403945112,6.083,7.617,4.279,1981,2025,-3.338,-43.82302743862413,4.025,0.25399999999999956,6.310559006211168,-1.3020473618005068,-0.053352305665348536,Decreasing,Positive,1.6637366858414793,1.9453671445121696,187,44,43,118,2,1142,2,1,0,0,0,85,0.0
Taiwan Province of China,TWN.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,18.194,18.516,18.791,19.069,19.314,19.509,19.725,19.954,20.157,20.401,20.606,20.803,20.995,21.178,21.357,21.525,21.743,21.929,22.092,22.277,22.406,22.521,22.605,22.689,22.77,22.877,22.958,23.037,23.12,23.162,23.225,23.316,23.374,23.434,23.492,23.54,23.571,23.589,23.603,23.561,23.375,23.265,23.42,23.4,23.299,45,0,0.0,21.94986666666666,22.605,18.194,23.603,1.6387104214761516,5.4090000000000025,18.194,23.299,1981,2025,5.105,28.058700670550735,23.4,-0.10099999999999909,-0.43162393162392776,0.56367033983169,0.11690461133069842,Increasing,Positive,3.1904351972363507,3.1333121267583777,171,41,35,197,2,1142,1,1,0,0,0,85,0.0
India,IND.GGX_NGDP.A,"Expenditure, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,24.463,25.24,25.378,26.808,26.689,26.194,26.208,24.98,24.364,25.231,26.034,25.85,26.086,28.276,29.115,29.942,28.45,26.026,25.642,26.093,28.269,28.101,27.721,27.32,27.184,26.488,26.203,27.345,27.593,26.649,26.781,27.419,31.766,30.688,29.963,29.702,29.278,28.463,45,0,0.0,24.807366666666667,26.488,10.478,31.766,5.900762936419169,21.287999999999997,12.017,28.463,1981,2025,16.446,136.85612049596406,29.278,-0.8149999999999977,-2.7836600860714453,1.9790622058924123,0.33476093544137037,Increasing,Positive,3.383135238843747,3.2506599808874825,77,40,8,197,3,3211,2,1,0,0,0,85,0.0
Sri Lanka,LKA.GGXCNL_NGDP.A,"Net lending (+) / net borrowing (-), General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,-6.389,-7.973,-4.951,-5.775,-7.406,-7.11,-6.892,-5.71,-6.786,-5.584,-7.778,-8.48,-6.904,-6.152,-6.323,-5.933,-5.913,-5.808,-5.93,-8.328,-6.728,-6.009,-5.439,-5.005,-5.992,-6.639,-4.997,-5.098,-4.956,-7.519,-13.358,-11.683,-10.223,-8.323,-5.426,23.144,45,0,0.0,-2.3778222222222225,-5.93,-13.358,23.144,8.763926617205765,36.501999999999995,12.017,23.144,1981,2025,11.126999999999999,92.59382541399684,-5.426,28.57,526.5388868411352,1.5007250448167309,-0.33724104084321416,Decreasing,Positive,3.184035902025493,,161,38,33,197,3,3211,2,1,0,0,1,84,1.1627906976744187
United States,USA.PPPSH.A,"Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021",Units,Percent,21.636,21.137,21.56,22.13,22.253,22.298,22.206,22.159,22.175,21.724,21.217,19.718,19.892,20.122,19.94,19.938,20.006,20.369,20.628,20.421,20.126,19.919,19.756,19.514,19.301,18.863,18.286,17.806,17.462,17.056,16.686,16.534,16.341,16.19,16.129,15.925,15.723,15.568,15.323,15.242,15.104,14.938,14.892,14.81,14.628,45,0,0.0,18.747800000000005,19.718,14.628,22.298,2.5745622275711963,7.669999999999998,21.636,14.628,1981,2025,-7.007999999999999,-32.390460343871325,14.81,-0.18200000000000038,-1.228899392302501,-0.8856482201208604,-0.18951791831357037,Decreasing,Positive,2.749064177192824,2.983042092737473,187,44,26,197,3,3211,2,1,0,0,0,85,0.0
Burundi,BDI.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,4.129,4.25,4.374,4.502,4.634,4.77,4.91,5.054,5.202,5.354,5.511,5.668,5.658,5.756,5.864,5.972,6.07,6.187,6.337,6.47,6.634,6.824,7.043,7.311,7.587,7.866,8.162,8.506,8.948,9.376,9.718,10.071,10.439,10.8,11.048,11.239,11.507,11.859,12.255,12.617,12.965,13.321,13.689,14.048,14.469,45,0,0.0,8.110533333333334,7.043,4.129,14.469,3.1287874401203006,10.34,4.129,14.469,1981,2025,10.34,250.42383143618312,14.048,0.4209999999999994,2.9968678815489707,2.8909383733963345,0.23211739130434772,Increasing,Positive,2.738838021254528,2.2094312532830944,28,37,35,197,2,1142,1,1,0,0,0,85,0.0
Mauritius,MUS.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,0.98,0.993,1.002,1.012,1.021,1.028,1.036,1.043,1.051,1.059,1.07,1.084,1.097,1.113,1.122,1.134,1.148,1.16,1.175,1.187,1.196,1.205,1.213,1.221,1.228,1.234,1.24,1.244,1.247,1.25,1.252,1.252,1.254,1.255,1.256,1.256,1.257,1.257,1.257,1.256,1.256,1.251,1.248,1.245,1.243,45,0,0.0,1.168622222222222,1.213,0.98,1.257,0.09463693515192412,0.2769999999999999,0.98,1.243,1981,2025,0.2630000000000001,26.836734693877563,1.245,-0.0020000000000000018,-0.16064257028112464,0.541758870570197,0.006734782608695657,Increasing,Positive,0.8078142555380713,0.7740920452699832,112,40,35,197,2,1142,1,1,0,0,0,85,0.0
United Kingdom,GBR.GGXONLB_NGDP.A,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Units,Percent,-1.761,-0.547,-0.752,-0.513,-0.129,0.034,0.605,2.097,2.135,0.159,-1.431,-4.017,-5.154,-4.014,-2.941,-1.617,0.121,1.76,2.458,3.049,1.818,-0.577,-1.789,-1.681,-1.538,-1.132,-0.948,-3.505,-8.509,-6.721,-4.629,-5.616,-3.903,-3.647,-3.03,-1.668,-0.677,-0.563,-0.952,-11.786,-5.43,-1.04,-3.686,-4.023,-2.765,45,0,0.0,-1.9656666666666667,-1.538,-11.786,3.049,2.9248293423408795,14.834999999999999,-1.761,-2.765,1981,2025,-1.0040000000000002,-57.0130607609313,-4.023,1.2579999999999996,31.270196370867502,,-0.10097654808959215,Decreasing,Negative,,,186,44,37,190,3,3211,2,1,0,0,3,82,3.488372093023256
Uganda,UGA.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,11.607,11.962,12.335,12.734,13.169,13.641,14.147,14.679,15.227,15.782,16.343,16.873,17.447,18.021,18.595,19.214,19.832,20.45,21.113,21.82,22.526,23.277,24.116,24.956,25.795,26.678,27.606,28.578,29.549,30.521,31.537,32.548,33.51,34.477,35.492,36.561,37.674,38.823,39.823,41.222,42.46,43.799,45.222,46.623,48.022,45,0,0.0,26.14191111111111,24.116,11.607,48.022,10.827479127878586,36.415,11.607,48.022,1981,2025,36.415,313.7330920995951,46.623,1.399000000000001,3.0006649078780883,3.2800333562509554,0.8136570487483528,Increasing,Positive,3.892269176941285,3.301079068696595,183,37,35,197,2,1142,1,1,0,0,0,85,0.0
Tonga,TON.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,0.093,0.093,0.094,0.095,0.095,0.094,0.094,0.095,0.095,0.096,0.096,0.097,0.097,0.097,0.097,0.098,0.098,0.098,0.099,0.099,0.1,0.1,0.1,0.101,0.101,0.102,0.102,0.102,0.103,0.103,0.103,0.103,0.102,0.102,0.101,0.101,0.101,0.1,0.1,0.1,0.1,0.1,0.1,0.099,0.099,45,0,0.0,0.09877777777777778,0.1,0.093,0.103,0.0029533408577782235,0.009999999999999995,0.093,0.099,1981,2025,0.006000000000000005,6.451612903225811,0.099,0.0,0.0,0.14219271852815574,0.00017931488801054048,Increasing,Positive,0.09440067542148432,0.09419845095163439,177,35,35,197,2,1142,1,1,0,0,0,85,0.0
United Kingdom,GBR.LUR.A,Unemployment rate,Units,Not Specified,9.65,10.725,11.475,11.75,11.375,11.325,10.425,8.575,7.225,7.1,8.85,9.95,10.375,9.5,8.625,8.1,6.95,6.25,5.975,5.45,5.1,5.2,5.0,4.75,4.825,5.425,5.35,5.725,7.625,7.9,8.1,7.95,7.575,6.175,5.375,4.875,4.425,4.075,3.825,4.625,4.55,3.8,4.05,4.3,4.85,45,0,0.0,7.002222222222222,6.25,3.8,11.75,2.430656606845986,7.95,9.65,4.85,1981,2025,-4.800000000000001,-49.74093264248705,4.3,0.5499999999999998,12.790697674418603,-1.551428523013132,-0.15164361001317464,Decreasing,Positive,1.766441661243765,2.0797192808845097,186,44,43,118,2,1142,2,1,0,0,0,85,0.0
Russian Federation,RUS.GGXCNL.A,"Net lending (+) / net borrowing (-), General government, Domestic currency",Billions,Domestic currency,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,-209.165,-185.349,243.205,286.637,78.051,191.071,834.616,1758.992,2250.584,1989.684,2012.072,-2448.618,-1584.726,860.724,260.387,-848.224,-845.586,-2813.691,-3142.138,-1349.108,3036.213,2115.018,-4294.213,1045.812,-2107.617,-3910.212,-3225.391,-8336.985,45,0,0.0,-402.4473666666667,13.7585,-8336.985,3036.213,1983.2603202631892,11373.198,12.017,-8336.985,1981,2025,-8349.002,-69476.59149538155,-3225.391,-5111.594000000001,-158.4798246166124,,-58.70361884057999,Decreasing,Negative,,,144,40,32,197,0,2134,0,1,1,1,3,82,3.488372093023256
"Estonia, Republic of",EST.LE.A,"Employed persons, Persons for countries / Index for country groups",Millions,Not Specified,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,0.699,0.675,0.633,0.619,0.617,0.606,0.579,0.585,0.59,0.59,0.603,0.602,0.616,0.652,0.658,0.656,0.594,0.568,0.603,0.615,0.621,0.625,0.641,0.645,0.659,0.665,0.671,0.657,0.654,0.681,0.7,0.704,0.699,45,0,0.0,3.8323888888888904,0.657,0.568,14.4635,5.4027663325551964,13.8955,12.017,0.699,1981,2025,-11.318,-94.18324040942,0.704,-0.0050000000000000044,-0.7102272727272734,-6.260081675119611,-0.3059175230566537,Decreasing,Positive,0.530039842689795,1.5753409393660522,55,44,6,41,2,1142,1,1,0,0,0,85,0.0
Hungary,HUN.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,10.706,10.695,10.672,10.641,10.599,10.56,10.509,10.464,10.422,10.375,10.373,10.374,10.365,10.35,10.337,10.321,10.301,10.28,10.253,10.222,10.2,10.175,10.142,10.117,10.098,10.077,10.066,10.045,10.031,10.014,9.986,9.932,9.895,9.85,9.816,9.78,9.74,9.714,9.7,9.689,9.651,9.61,9.6,9.585,9.56,45,0,0.0,10.130933333333333,10.142,9.56,10.706,0.33559921984956465,1.145999999999999,10.706,9.56,1981,2025,-1.145999999999999,-10.7042779749673,9.585,-0.025000000000000355,-0.26082420448618,-0.25697970607480025,-0.025428985507246406,Decreasing,Positive,2.3570732782781154,2.4097280192139627,75,42,35,197,2,1142,1,1,0,0,0,85,0.0
United States,USA.GGXONLB_NGDP.A,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,14.973,15.1875,16.661499999999997,1.768,-1.717,-2.812,-2.351,-1.084,-0.074,-0.847,-4.589,-11.288,-8.966,-7.419,-5.905,-2.584,-2.056,-1.692,-2.374,-2.781,-3.101,-3.528,-12.077,-9.193,-0.989,-4.759,-4.371,-3.17,45,0,0.0,3.9264111111111095,-0.847,-12.077,16.661499999999997,9.306580950699306,28.738499999999995,12.017,-3.17,1981,2025,-15.187,-126.37929599733711,-4.371,1.2010000000000005,27.47654998856098,,-0.5812008563899874,Decreasing,Negative,,1.5946107536075897,187,44,37,190,3,3211,2,1,0,0,2,83,2.3255813953488373
"Serbia, Republic of",SRB.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,14.973,7.54,7.516,7.503,7.5,7.481,7.463,7.441,7.412,7.382,7.35,7.321,7.291,7.237,7.201,7.167,7.132,7.095,7.058,7.021,6.983,6.945,6.899,6.834,6.664,6.623,6.586,6.54,45,0,0.0,9.688522222222224,7.481,6.54,16.064,3.3187444383715694,9.524000000000001,12.017,6.54,1981,2025,-5.476999999999999,-45.57709910959474,6.586,-0.04600000000000026,-0.698451260249017,-1.3731782186874542,-0.19247048748353057,Decreasing,Positive,2.020222182019865,2.369170476212758,150,42,35,197,2,1142,1,1,0,0,0,85,0.0
United Kingdom,GBR.BCA_NGDPD.A,"Current account balance (credit less debit), Percent of GDP",Units,Percent,1.691,0.733,0.407,-0.283,-0.061,-0.735,-1.326,-3.279,-3.803,-2.82,-1.086,-1.28,-1.049,-0.186,-0.379,-0.263,-0.167,-0.304,-2.138,-1.852,-1.781,-1.989,-1.828,-2.314,-1.991,-3.104,-3.713,-3.841,-3.053,-2.754,-1.631,-3.116,-4.514,-4.816,-4.782,-5.245,-3.379,-3.723,-2.479,-2.72,-0.756,-1.916,-3.57,-2.978,-3.126,45,0,0.0,-2.073311111111111,-1.991,-5.245,1.691,1.6067768247788687,6.936,1.691,-3.126,1981,2025,-4.817,-284.8610289769367,-2.978,-0.1479999999999997,-4.9697783747481425,,-0.08023017127799743,Decreasing,Negative,,,186,44,4,196,3,3211,2,1,0,0,3,82,3.488372093023256
United States,USA.LP.A,"Population, Persons for countries / Index for country groups",Millions,Not Specified,229.916,232.128,234.247,236.307,238.416,240.593,242.751,244.968,247.286,250.047,253.392,256.777,260.146,263.325,266.458,269.581,272.822,276.022,279.195,282.296,285.216,288.019,290.733,293.389,296.115,298.93,301.903,304.718,307.374,309.737,311.944,314.167,316.331,318.619,320.926,323.221,325.28,327.023,328.547,331.307,332.452,334.252,336.962,339.989,341.89,45,0,0.0,287.9048222222222,290.733,229.916,341.89,35.04187881163758,111.97399999999999,229.916,341.89,1981,2025,111.97399999999999,48.70213469267036,339.989,1.9010000000000105,0.5591357367444272,0.9058395334173408,2.6612728590250327,Increasing,Positive,5.837409696022337,5.66609729899859,187,44,35,197,2,1142,1,1,0,0,0,85,0.0
United States,USA.GGX_NGDP.A,"Expenditure, General government, Percent of GDP",Units,Percent,12.017,10.6935,10.478,12.114,11.111,12.52,13.396,13.286,13.7585,14.4635,13.831,13.807,14.295,15.373,16.064,14.883,15.735,14.973,15.1875,16.661499999999997,32.801,33.698,34.037,33.719,33.928,33.692,34.562,37.144,41.399,39.763,38.796,37.223,35.782,35.324,35.031,35.333,35.194,35.349,35.819,44.735,43.223,36.797,37.51,37.738,37.705,45,0,0.0,26.465544444444443,33.698,10.478,44.735,11.791083567786519,34.257,12.017,37.705,1981,2025,25.688,213.76383456769577,37.738,-0.03300000000000125,-0.08744501563411217,2.6328595081860806,0.8147297101449281,Increasing,Positive,3.6559687906566767,3.312932289807444,187,44,8,197,3,3211,2,1,0,0,0,85,0.0
